Date,AMEX Airline Index,AMEX Biotech Index,AMEX Composite Index,AMEX Computer Hardware,AMEX Computer Technology,AMEX Consumer Select SPIDER,AMEX Consumer Staples SPIDER,AMEX Defense Index,AMEX Disk Drive Index,AMEX Dollar Index,AMEX Gold Bugs Index,AMEX Hong Kong 30 Index,AMEX Institutional Index Open,AMEX International Market Index,AMEX Japan Index,AMEX Major Market Index,AMEX Mexico Index,AMEX Networking Index,AMEX North American Telecommunication Index,AMEX Pharmaceutical Index,AMEX Securities Broker Dealers,AMEX Select Sector SPIDER - Energy Index,AMEX Select Sector SPIDER - Financial Index,AMEX Select Sector SPIDER - Healthcare Index,AMEX Select Sector SPIDER - Technology Index,AMEX Tobacco Index,AMEX Utilities Select Select SPIDER,British Pound,CAC 40,Canadian Dollar,CBOE 10-Year Treasury Note,CBOE 30-Year Treasury Bond,Crude Oil,DJ  Composite,DJ  Industrials,DJ UBS Commodity Index,FTSE 100,Ftse 100 Index,Hang Seng Index,ML High Yield Master II,NASDAQ 100,Natural Gas,Nikkei 225,NYSE Composite,Russell 1000,Russell 2000,Russell 3000,Russell MidCap Value Total Return Index,S&P 500,S&P 500 [Tr],S&P GSCI Commodity Index Spot,S&P Midcap 400 Index,S&P Smallcap 600,US CMT 10 Years,US CMT 5 Years,VIX
1/31/1999,0.049452723,0.061254254,0.037547715,0.215614196,0.200670366,0.047961905,-0.01262756,-0.563119378,0.065238512,0.020282468,-0.005320721,-0.05901798,0.051461632,0.009030617,0.047001395,0.002021097,0.021598808,0.134547192,0.117478636,0.00259074,0.284729779,-0.064083265,0.01965834,0.04569095,0.158287522,-0.063845675,-0.018497609,0.010390715,0.078408993,-0.016780488,0.002155172,0.001968504,0.058091286,0.009903059,0.019321609,-0.007455013,0.002277904,0.002277904,-0.053906124,0.013504769,0.158593907,-0.086375321,0.047469436,0.007771515,0.035419292,0.012465637,0.033661011,-0.023305315,0.041009412,0.041814121,0.01691475,-0.039789962,-0.012967975,0.002150538,-0.002192982,0.074938575
2/28/1999,0.007476753,-0.100066168,-0.023179364,-0.168118655,-0.13349644,-0.010832818,-0.014313332,0.001221427,-0.296639154,0.027060783,-0.011144131,0.027461229,-0.036608483,-0.007833065,-0.007193286,-0.005442751,0.02746051,-0.107441314,-0.033781387,0.012229443,-0.01606437,-0.006525435,0.012165348,0.003573665,-0.099323876,-0.099076044,-0.037015733,0.026829725,-0.037362999,-0.001323014,0.133333333,0.090373281,-0.037647059,-0.007984796,-0.005582963,-0.038591039,0.047337178,0.047337178,0.036982613,-0.00680121,-0.094918649,-0.083849184,-0.009083918,-0.02328281,-0.033005829,-0.081831375,-0.036700989,-0.021984315,-0.032282517,-0.03107757,-0.032823242,-0.053623573,-0.090940249,0.135193133,0.145054945,0.062095238
3/31/1999,0.059744309,0.057349697,0.017199158,-0.012506491,0.068452489,0.048583294,-0.000188587,-0.023701638,-0.164678423,0.014389947,-0.038016529,0.1075762,0.048917128,0.074446874,0.100764793,0.036692246,0.188505203,0.109695525,0.052882262,0.025477707,0.160167571,0.14251353,0.036306925,0.029405286,0.077394095,-0.100047958,-0.062787674,-0.007001239,0.025639272,-0.000331192,-0.007590133,0.012612613,0.36593317,0.036490259,0.051531282,0.091325431,0.019465272,0.019465272,0.109926571,0.011627257,0.094069434,0.236486486,0.102247845,0.029209475,0.037006541,0.0136899,0.0353023,0.014280835,0.038794182,0.040005457,0.176641443,0.026928471,0.012127686,-0.007561437,-0.017274472,-0.165710187
4/30/1999,0.06096628,0.022358919,0.093861749,0.007406109,-0.003387993,0.028913889,-0.035611891,0.102106391,-0.122244645,0.008991009,0.208684786,0.222734631,0.016557025,0.04275538,0.053876158,0.097502776,0.152537313,0.135756328,0.062906241,-0.089445923,0.117651423,0.142631579,0.066377719,0.048036803,0.0074321,0.038532486,0.099197721,0.003419335,0.049422566,-0.034057779,0.022944551,0.008896797,0.113365155,0.097049372,0.10247942,0.036781042,0.040808222,0.040808222,0.218511817,0.018290324,0.014242377,0.119225037,0.054616556,0.050879007,0.041588638,0.08847421,0.04484652,0.094709665,0.037943982,0.03872896,0.045732103,0.077820268,0.065499472,0.020952381,0.0234375,0.077815993
5/31/1999,-0.079039326,0.052163449,0.00227808,0.014442318,-0.008612093,-0.041692213,-0.016507589,-0.109491416,0.056238394,0.014950495,-0.149651073,-0.094228667,-0.033612692,-0.037012586,-0.042389544,-0.022833563,-0.058965726,0.044355554,0.016568392,-0.030127494,-0.037132109,-0.019062467,-0.0565633,-0.041241323,-0.000569569,0.131478192,0.008799454,0.004057428,-0.012271443,0.011661408,0.048598131,0.026455026,-0.097534834,-0.016900228,-0.021253049,-0.06452381,-0.049754281,-0.049754281,-0.08895689,-0.009170827,-0.021854624,0.046604527,-0.03531892,-0.018981887,-0.023229054,0.013562533,-0.020573313,0.004174907,-0.024970416,-0.023617464,-0.054416698,0.003243873,0.023482112,0.052238806,0.06870229,0.01276426
6/30/1999,-0.010057817,0.065837892,0.024642371,0.087564322,0.130269294,0.055555556,0.020881394,-0.02400873,-0.024277941,0.00331675,0.06231003,0.122743805,0.06563855,0.06290611,0.09541639,0.030033057,0.049082569,0.091830189,0.100963737,0.041278258,0.024659864,0.015098429,0.039730344,0.049936116,0.095687807,0.005023373,0.049022922,0.016175071,0.042589669,-0.000881475,0.035650624,0.029209622,0.145486936,0.014895338,0.038927095,0.052176126,0.014824452,0.014824452,0.114020443,-0.002491922,0.099090779,0.015267176,0.088016435,0.041573893,0.050817258,0.043311753,0.050259001,0.011407732,0.054438333,0.055497441,0.07318355,0.052567762,0.056191289,0.030141844,0.0125,-0.169358015
7/31/1999,-0.006327189,0.168657273,-0.012156455,0.065057961,0.008312686,-0.07627033,-0.038337164,-0.030190086,-0.12046332,-0.030140982,-0.041201717,-0.025310324,-0.031146174,0.009183831,0.023099399,-0.023020834,-0.127940533,-0.017782156,-0.010406573,-0.064515264,-0.125916788,0.014304523,-0.063495108,-0.033904607,-0.010055728,-0.044602569,-0.01572773,-0.027272166,-0.034067288,0.023074313,0.017211704,0.01836394,0.064282011,-0.023058606,-0.028771831,0.012699565,-0.013705785,-0.013705785,-0.02551555,0.001345156,-0.011250582,0.062238931,0.018946088,-0.034035444,-0.032370623,-0.028207481,-0.032092827,-0.025038943,-0.032046099,-0.031223692,0.035565622,-0.022127292,-0.009271238,0.018932874,0.026455026,0.168326221
8/31/1999,-0.069246311,0.07309673,-0.016264288,0.052865393,0.077246332,-0.041484398,0.008994044,0.106072252,0.028972783,0.002005013,0.052521635,0.023591352,0.004520935,-0.002000667,-0.024463843,0.006163815,-0.020758123,0.009606249,-0.065021517,0.04349321,-0.035051705,0.01031398,-0.047029906,-0.046641008,0.034751933,-0.007956403,-0.054747872,0.007522069,0.047274569,-0.007296849,0.011844332,-0.004918033,0.076960546,-0.006063838,0.016342332,0.053505315,0.002326738,0.002326738,0.022439762,-0.010554885,0.055457456,0.110892646,-0.02381051,-0.021947461,-0.010485004,-0.038087101,-0.01247947,-0.034558258,-0.006254139,-0.004944505,0.073594609,-0.035291808,-0.044776931,0.010135135,0.010309278,-0.007711039
9/30/1999,-0.097224049,-0.059747024,0.016533189,-0.008438819,-0.018275936,-0.005210314,-0.090022084,-0.040653231,-0.1068449,-0.014107054,0.226538134,-0.054516212,-0.018488212,-0.001058024,0.007015024,-0.031885982,-0.041577061,0.045169385,0.081389106,-0.059829764,-0.005797101,-0.044827945,-0.0545095,-0.010680075,-0.004811645,-0.058558559,0.021892753,-0.022543598,0.000479384,-0.018042098,-0.015050167,-0.001647446,0.108548168,-0.049049684,-0.045462856,0.047840381,-0.034675973,-0.034675973,-0.055591692,-0.004017622,0.004601835,-0.028318584,0.009686544,-0.031910802,-0.028451417,-0.00123881,-0.026553704,-0.050612933,-0.028551738,-0.027415584,0.051976655,-0.031774702,0.003588312,-0.013377926,-0.017006803,0.039263804
10/31/1999,0.10754882,0.039605919,0.015947122,0.014929078,0.005291808,0.083648736,0.097868773,0.09239406,-0.142978452,0.005277045,-0.079865927,0.041290882,0.071242477,0.048887898,0.016620043,0.044896976,-0.001816433,0.068710818,0.123776195,0.137028708,0.132479204,-0.014432165,0.162908066,0.053680071,0.028960859,-0.127163808,0.006305085,0.00194825,0.06472943,0.001020755,0.018675722,0.014851485,-0.112607099,0.038904617,0.038010245,-0.044033323,0.037463929,0.037463929,0.041129359,-0.005424804,0.095327879,0.078688525,0.019120205,0.055129228,0.065317928,0.00313597,0.060893692,0.029504334,0.062539467,0.063281787,-0.050612373,0.050001314,-0.003007946,0.020338983,0.032871972,-0.126328217
