STOCKS,Start,End,Ret
IP,53.58,47.59,-0.11179544606196334
IPG,20.77,19.27,-0.07221954742416947
IR,63.39,67.42,0.06357469632434132
IRM,38.66,31.0,-0.19813760993274698
ISRG,528.94,484.5,-0.08401709078534436
ITW,94.7,91.79,-0.030728616684266075
IVZ,39.52,37.49,-0.05136639676113364
JBL,21.83,21.29,-0.024736601007787407
JCI,48.34,49.53,0.024617294166321857
JCP,6.48,8.47,0.3070987654320987
JDSU,13.72,11.58,-0.1559766763848397
JEC,44.69,40.62,-0.09107182814947412
JNJ,104.57,97.46,-0.06799273214114943
JNPR,22.32,25.97,0.16353046594982068
JOY,46.52,36.2,-0.2218400687876182
JPM,62.58,67.76,0.08277404921700238
JWN,79.39,74.5,-0.06159465927698704
K,65.44,62.7,-0.04187041564792171
KEY,13.9,15.02,0.08057553956834518
KIM,25.14,22.54,-0.10342084327764522
KLAC,70.32,56.21,-0.2006541524459612
KMB,115.54,105.97,-0.0828284576769951
KMI,42.31,38.39,-0.09264949184589932
KMX,66.58,66.21,-0.005557224391709248
KO,42.22,39.23,-0.07081951681667464
KR,32.105,36.255,0.12926335461766092
KRFT,62.66,85.14,0.3587615703798277
KSS,61.04,62.61,0.02572083879423337
L,42.02,38.51,-0.08353165159447895
LEG,42.61,48.68,0.14245482281154653
LEN,44.81,51.04,0.1390314661905825
LH,107.9,121.22,0.12344763670064873
LLL,126.21,113.38,-0.1016559702083828
LLTC,45.6,44.23,-0.030043859649122928
LLY,68.99,83.49,0.21017538773735334
LM,53.37,51.53,-0.03447629754543746
LMT,192.57,185.9,-0.0346367554655449
LNC,57.67,59.22,0.02687705912952998
LO,62.94,0.0,-1.0
LOW,68.8,66.97,-0.02659883720930234
LRCX,79.34,81.35,0.02533400554575227
LTD,86.55,85.73,-0.009474292316579924
LUK,22.42,24.28,0.08296164139161455
LUV,42.32,33.09,-0.21810018903591677
LYB,79.39,103.52,0.3039425620355207
M,65.75,67.47,0.026159695817490558
MA,86.16,93.48,0.08495821727019504
MAR,78.03,74.39,-0.046648724849416845
MAS,25.2,26.67,0.05833333333333335
MAT,30.945,25.69,-0.16981741799967687
MCD,93.7,95.07,0.014621131270010634
MCHP,45.11,47.425,0.05131899800487694
MCK,207.58,224.81,0.08300414298101932
MCO,95.81,107.96,0.12681348502244005
MDLZ,36.325,41.14,0.13255333792154156
MDT,72.2,74.1,0.02631578947368407
MET,54.09,55.99,0.035126640783878615
MHP,88.98,100.45,0.12890537199370633
MJN,100.54,90.22,-0.10264571314899551
MKC,74.3,80.95,0.0895020188425304
MMC,57.24,56.7,-0.009433962264150941
MMM,164.32,154.3,-0.06097857838364151
MNST,108.35,134.02,0.23691739732348882
MO,49.27,48.91,-0.007306677491374147
MON,119.47,106.59,-0.10780949192265832
MOS,45.65,46.85,0.026286966046002336
MPC,45.13,52.31,0.15909594504764013
MRK,56.79,56.93,0.0024652227504842195
MRO,28.29,26.54,-0.06185931424531632
MS,38.8,38.79,-0.0002577319587628857
MSFT,46.45,44.15,-0.049515608180839665
MSI,67.08,57.34,-0.14519976147883118
MTB,125.62,124.93,-0.005492755930584292
MU,35.01,18.84,-0.46186803770351326
MUR,50.52,41.57,-0.1771575613618369
MWV,44.39,47.19,0.06307726965532767
MYL,56.37,67.86,0.20383182543906342
NBL,47.43,42.68,-0.10014758591608686
NBR,12.98,14.43,0.11171032357473032
NDAQ,47.96,48.81,0.017723102585488038
NE,16.57,15.39,-0.07121303560651782
NEE,106.29,98.03,-0.07771192021827078
NEM,18.9,23.36,0.23597883597883595
NFLX,48.801,93.849,0.9230958382000369
NFX,27.12,36.12,0.331858407079646
NI,42.42,45.59,0.07472890146157485
NKE,96.15,108.02,0.12345293811752467
NOC,147.39,158.63,0.07626026189022328
NOV,65.53,48.28,-0.2632382115061803
NRG,26.95,22.88,-0.15102040816326534
NSC,109.61,87.36,-0.2029924276982027
NTAP,41.45,31.56,-0.23860072376357067
NTRS,67.4,76.46,0.1344213649851631
NU,53.52,0.0,-1.0
NUE,49.05,44.07,-0.10152905198776752
NVDA,20.05,20.11,0.0029925187032417977
NWL,38.09,41.11,0.07928590181149886
NWSA,15.69,14.59,-0.07010834926704901
OI,26.99,22.94,-0.15005557613931075
OKE,49.79,39.48,-0.20706969270937947
OMC,77.47,69.49,-0.10300761585129736
ORCL,44.97,40.3,-0.10384700911718925
ORLY,192.62,225.98,0.17319073824109643
OXY,80.61,77.77,-0.03523136087334078
PAYX,46.17,46.88,0.015377951050465688
PBCT,15.18,16.21,0.06785243741765479
PBI,24.37,20.81,-0.14608124743537143
PCAR,68.01,63.81,-0.0617556241729158
PCG,53.24,49.1,-0.07776108189331332
PCL,42.79,40.57,-0.05188128067305442
PCLN,1140.21,1151.37,0.009787670692240846
PCP,240.88,199.87,-0.1702507472600464
PDCO,48.1,48.65,0.011434511434511352
PEG,41.41,39.28,-0.05143685100217332
PEP,94.56,93.34,-0.01290186125211501
PETM,81.295,0.0,-1.0
PFE,31.15,33.53,0.07640449438202257
PFG,51.94,51.29,-0.012514439738159355
PG,91.09,78.24,-0.14106927214842468
PGR,26.99,27.83,0.031122638014079218
PH,128.95,116.33,-0.09786739046141912
PHM,21.46,20.15,-0.061043802423112914
PKI,43.73,52.64,0.2037502858449578
PLD,43.03,37.1,-0.13781082965372993
PLL,101.21,124.45,0.22962157889536616
PM,81.45,80.17,-0.015715162676488648
PNC,91.23,95.65,0.04844897511783408
PNR,66.42,68.75,0.035079795242396905
PNW,68.31,56.89,-0.16717903674425416
POM,26.93,26.94,0.00037133308577796953
PPG,115.575,114.72,-0.0073977936404932
PPL,36.33,29.47,-0.18882466281310206
PRGO,167.16,184.83,0.10570710696338836
PRU,90.46,87.52,-0.032500552730488574
PSA,184.85,184.37,-0.002596700027048926
PSX,71.7,80.56,0.12357043235704324
PWR,28.39,28.82,0.015146178231771668
PX,129.56,119.55,-0.07726150046310598
PXD,148.85,138.69,-0.06825663419549877
QCOM,74.33,62.63,-0.1574061617112874
QEP,20.22,18.51,-0.08456973293768533
R,92.85,87.37,-0.05901992460958527
RAI,64.27,74.66,0.16166173953633112
RDC,23.32,21.11,-0.09476843910806176
RF,10.56,10.36,-0.018939393939394034
RHI,58.38,55.5,-0.04933196300102782
RHT,69.14,75.93,0.09820653746022567
RL,185.16,132.36,-0.28515878159429675
ROK,111.2,124.64,0.12086330935251799
ROP,156.35,172.46,0.10303805564438773
ROST,47.13,48.61,0.0314025037131338
RRC,53.45,49.38,-0.07614593077642662
RRD,16.805,17.43,0.037191312109491115
RSG,40.25,39.17,-0.026832298136645893
RTN,108.17,95.68,-0.11546639548858273
S,4.15,4.56,0.09879518072289128
SBUX,41.025,53.615,0.3068860450944546
SCG,60.4,50.65,-0.1614238410596026
SCHW,30.19,32.65,0.08148393507784024
SE,36.3,32.6,-0.1019283746556473
SEE,42.43,51.38,0.21093565873202924
SHW,263.04,275.02,0.045544403892943786
SIAL,137.27,139.35,0.015152618926203676
SJM,100.98,108.41,0.073578926520103
SLB,85.41,86.19,0.009132420091324311
SLM,10.19,9.87,-0.03140333660451422
SNA,136.74,159.25,0.1646189849349129
SNDK,97.98,58.22,-0.4057971014492754
SNI,75.27,65.37,-0.13152650458349935
SO,49.11,41.9,-0.14681327631846874
SPG,182.11,173.02,-0.049914886606995834
SPLS,18.12,15.31,-0.1550772626931568
SRCL,131.08,133.91,0.02158986878242275
SRE,111.36,98.94,-0.11153017241379315
STI,41.9,43.02,0.026730310262530033
STJ,65.03,73.07,0.12363524527141312
STT,78.5,77.0,-0.019108280254777066
STX,66.5,47.5,-0.2857142857142857
STZ,98.17,116.02,0.18182744219211555
SWK,96.08,105.24,0.0953372189841799
SWN,27.29,22.73,-0.16709417368999624
SWY,35.12,0.0,-1.0
SYK,94.33,95.57,0.013145340824764151
SYMC,25.655,23.25,-0.0937439095692848
SYY,39.69,36.1,-0.0904509952128999
T,33.59,35.52,0.05745757665972007
TAP,74.52,69.81,-0.06320450885668272
TDC,43.68,37.0,-0.15293040293040294
TE,20.49,17.66,-0.13811615422157142
TEG,77.85,69.66,-0.10520231213872833
TEL,63.25,64.3,0.016600790513833896
TER,19.79,19.29,-0.02526528549772611
TGT,75.91,81.63,0.07535239098932944
THC,50.67,57.88,0.14229327017959337
TIF,106.86,91.8,-0.1409320606400899
TJX,68.58,66.17,-0.03514144065325164
TMK,54.17,58.22,0.07476462986893107
TMO,125.29,129.76,0.03567722882911628
TRIP,74.66,87.14,0.16715778194481645
TROW,85.86,77.73,-0.0946890286512927
TRV,105.85,96.66,-0.08682097307510628
TSN,40.09,42.63,0.06335744574706914
TSO,74.35,84.41,0.13530598520511106
TSS,33.96,41.77,0.22997644287396946
TWC,152.06,178.17,0.17170853610416925
TWX,85.42,87.41,0.02329665183797691
TXN,53.465,51.51,-0.03656597774244841
TXT,42.11,44.63,0.05984326763239145
TYC,43.86,38.48,-0.1226630186958505
UNH,101.09,122.0,0.20684538530022745
UNM,34.88,35.75,0.024942660550458573
UNP,119.13,95.37,-0.19944598337950137
UPS,111.17,96.91,-0.1282720158316093
URBN,35.13,35.0,-0.0037005408482778668
USB,44.95,43.4,-0.034482758620689724
UTX,115.0,110.93,-0.035391304347826
V,65.55,67.15,0.024408848207475353
VAR,86.51,84.33,-0.02519939891342049
VFC,74.9,69.74,-0.06889185580774382
VIAB,75.25,64.64,-0.14099667774086377
VLO,49.5,62.6,0.2646464646464646
VMC,65.73,83.93,0.27689030883919075
VNO,117.71,94.93,-0.19352646334211188
VRSN,57.0,61.72,0.08280701754385955
VTR,71.7,62.09,-0.13403068340306834
VZ,46.78,46.61,-0.0036340316374519066
WAG,76.05,0.0,-1.0
WAT,112.72,128.38,0.13892831795599703
WDC,110.7,78.42,-0.2915989159891599
WEC,52.74,44.97,-0.14732650739476683
WFC,54.82,56.24,0.02590295512586649
WFM,50.42,39.44,-0.21777072590241975
WHR,193.74,173.05,-0.106792608650769
WIN,49.44,6.38,-0.8709546925566343
WLP,128.71,0.0,-1.0
WM,51.32,46.35,-0.0968433359314107
WMB,44.94,57.39,0.27703604806408544
WMT,85.88,70.93,-0.17408011178388438
WPX,11.63,12.28,0.0558899398108339
WU,17.91,20.33,0.13512004466778316
WY,35.89,31.5,-0.12231819448314296
WYN,85.76,81.91,-0.04489272388059706
WYNN,148.76,98.67,-0.33671685937079854
X,26.74,20.62,-0.22887060583395658
XEL,35.92,32.18,-0.1041202672605791
XL,34.37,37.2,0.08233924934535941
XLNX,43.29,44.16,0.02009702009702008
XOM,92.45,83.2,-0.10005408328826393
XRAY,53.27,51.55,-0.03228834240660794
XRX,13.86,10.64,-0.23232323232323226
XYL,38.07,37.07,-0.026267402153926978
YHOO,50.51,39.29,-0.2221342308453771
YUM,72.85,90.08,0.23651338366506525
ZION,28.51,31.735,0.1131182041388985
ZMH,113.42,109.23,-0.03694233821195558
