Date,ACT,APD,CP,HHC,PAH,QSR,VRX,ZTS,HLF
2014-12-31,-0.008321466046730008,-0.01509154711701155,-0.0026397228698947783,-0.010995655228469459,-0.008116232379325017,0.004373613279321287,0.0006292616241292404,-0.007381772506601325,-0.008937959807098772
2015-01-02,0.006681950869321884,0.00832001912659286,-0.02117391467864871,0.0009968179879900065,-0.006459905532295696,-0.018442643464263275,0.00936339871872405,0.0065071401597629475,-0.003182997263050491
2015-01-05,-0.009416134576927915,-0.031974105579523404,-0.04018875947694578,-0.04052087995739073,-0.026441309059384462,-0.013569946920611864,-0.0011076774200278194,-0.006003276937459946,-0.12187338361504076
2015-01-06,-0.005921555137157197,-0.00035517936740148137,-0.021819570390010482,-0.0389590046469902,-0.02582368770363697,0.001851841417417344,-0.010118449447842126,-0.009756059007162254,-0.07818181818181813
2015-01-07,0.03942474851608524,0.010800854827884177,-0.003162397759415403,0.01013458240906906,0.0022852377644075887,0.0385530079053944,0.016032997044976405,0.02064267541384024,0.042735009861933015
2015-01-08,0.014063189855238578,0.023128246905688155,0.024133210729438304,0.030180913325343894,0.0579115823073415,0.025934323106598267,0.06187990152563061,0.015398819806816675,0.07976043757126218
2015-01-09,-0.001041039594621207,-0.01497865284333866,-0.009901499604277329,0.005029177098168081,-0.009482801315396472,-0.00966541597633197,-0.0033744580126752193,0.001584417238399638,-0.027153284671532885
2015-01-12,0.013398861447789123,-0.006905732324590463,-0.011341408878969506,-0.023351890018238453,0.0030460835509138477,-0.00675675828563871,0.012501614630790137,-0.018757107972224518,-0.01770708283313338
2015-01-13,-0.008741020305351066,-0.0052679645876871906,-0.0007346567814080496,-0.042452838666662614,0.004338438366092712,0.014361280847159597,0.016334360128617442,-0.014048749839924657,-0.03177509929728073
2015-01-14,-0.012893594210305892,-0.011933355336752771,-0.002657928503305041,0.01180566522516835,-0.004319697624190043,0.003229032555664091,-0.007846051980020086,0.0051389231999297005,-0.02145790402467951
2015-01-15,-0.010021818443496476,-0.003358724080573139,0.004309334209099625,-0.033744615976108894,-0.019956573533907784,-0.025748966468695626,-0.016007716530464622,-0.0020915607727042267,-0.007739438890680518
2015-01-16,0.018616128909952682,0.0017926264384320325,0.008977034641860282,0.032925036635174765,0.009738778220451659,-0.010165130942796807,0.017110636591965992,0.029809090700850138,0.01527461813454667
2015-01-20,0.0013027841687964779,0.011953321670217676,0.020256253158867255,-0.023296929801565502,0.0035072338232018385,-0.017201590533560185,-0.005607532270774929,-0.013072924373139559,-0.04929574263764402
2015-01-21,0.02512909835585675,0.012165799521848264,0.008939857698508913,0.010074967968870308,-0.020532941045563025,0.016457719227499282,0.0062159627129261255,0.015840176496163316,0.01885518455033064
2015-01-22,0.008122787429200695,0.008525516126651311,-0.007990875124620045,0.0248934179481648,-0.014272970561998275,0.007453117534369279,0.01381988246542143,0.005875678704586385,0.03536021150033042
2015-01-23,0.003992608035948031,-0.005958982508891597,-0.03600201022449867,0.008151688503146737,-0.0036199095022625416,0.0028061248615103285,0.0029524592882408385,-0.008762068914293875,-0.02521541653367376
2015-01-26,0.021137840734054114,-0.0026488572972296343,0.012619381923125285,0.04356440701892095,0.0245231153496821,-0.011701911210701632,0.0012526430852402015,-0.0006799352393755952,0.016699344574350183
2015-01-27,-0.01691101391488714,-0.008596557089681656,0.007073052956514614,0.01209671065551765,0.0035460994479652452,0.010038675617034977,0.005880157601150016,-0.017917923908774336,0.010628019665958721
2015-01-28,-0.022555341646452343,-0.021290125517614226,-0.01716825986493775,0.0036715961124753616,-0.04814487845162885,-0.0231906181867414,-0.0013060136572260461,-0.0043879534023401065,-0.020076450607917518
2015-01-29,-0.002300295707968858,0.05877694769474684,0.010151956725744649,0.0158001172415978,-0.014385105075874982,0.021654001273214485,0.005728868689927502,0.004871241149477568,0.015934959349593436
2015-01-30,-0.024556234217749332,-0.009388426549167715,-0.019313920239492192,0.0009195464301412493,-0.011299435028248485,-0.012257376873168637,-0.009534976457649004,-0.013619574661374534,-0.02432778489116516
2015-02-02,0.004689727462266369,0.014215999681077784,0.03824359062885452,0.011023516381247987,-0.013809571428571421,-0.00594621407773266,0.012564824576077882,0.015211829289307309,0.04855639763779518
2015-02-03,0.0020911795854190447,0.004943195626956776,0.02519984545459364,0.02687959272993745,0.039111590493075436,0.00598178304025665,-0.01401400824827781,0.002766228028556528,0.020025000626564537
2015-02-04,-0.007900111617661021,6.734722133461268e-05,-0.007476331400279369,-0.034139434970484994,0.0013940055762082793,-0.01499487073355077,0.007263089031108726,-0.0009195784328206448,0.0009203374797752684
2015-02-05,0.03170191808315703,0.02088671134743003,0.016528492825641283,0.01679515166061707,0.02412997791786453,0.00813649754293677,0.0036054082055514414,-0.0013805219986721131,0.01072629449199214
2015-02-06,0.0068444857866591935,-0.00791972872304647,0.0005864211720574275,-0.002702905582957937,0.04395111010421382,0.012236436274927877,0.0033447383712246204,0.005990755189521303,-0.007580351728320167
2015-02-09,-0.015331730912966026,-0.003658877866006049,-0.006819748629875333,0.010765587431068369,-0.01736119716314255,-0.012602912606181405,-0.011667380342385902,-0.01809439466727669,0.07393834402688683
2015-02-10,0.02508177096016873,0.0034719127480336014,0.00852956532071758,-0.0037985626321526134,0.017226237509992748,0.022401668000628927,0.025171760455774184,0.024259416181048318,-0.028449500514964417
2015-02-11,-0.005839381358491269,-0.0018630566719971546,-0.015425499498716631,-0.0017195962616822769,-0.012158097604945795,-0.005859861531645749,0.0012794187144513636,0.04235939785180176,0.019619266786572886
